Date,Product,Region,Units_Sold,Revenue,Profit
2026-12-16,MDF Board,East,46,55855,11487
2026-02-09,Plywood Premium,North,18,61618,14853
2026-03-17,Veneer Sheet,North,24,38381,8430
2025-06-12,MDF Board,East,30,46029,10090
2026-12-30,Veneer Sheet,North,22,48325,10236
2025-12-15,Laminate Classic,South,16,21899,6293
2025-05-19,Laminate Classic,East,28,31478,8679
2026-02-04,Plywood Premium,West,32,100456,23183
2025-08-09,MDF Board,South,46,62142,14550
2026-03-04,MDF Board,South,40,67737,12263
2025-12-18,Laminate Classic,South,20,37562,6233
2026-05-01,Laminate Classic,East,25,29948,7301
2025-04-09,MDF Board,East,46,44550,14627
2026-06-01,Laminate Classic,South,14,23454,6959
2025-07-25,Laminate Classic,South,15,29425,5730
2026-11-08,MDF Board,South,29,48615,9833
2026-01-02,Plywood Premium,North,33,56327,17207
2025-04-29,MDF Board,East,50,59452,10170
2025-01-25,Veneer Sheet,North,25,39439,6768
2026-06-02,Laminate Classic,East,21,29340,8362
2025-04-04,Veneer Sheet,West,23,36030,6604
2025-05-15,MDF Board,South,44,58598,9961
2026-08-11,Plywood Premium,North,21,74049,11610
2025-09-12,MDF Board,East,42,48073,13044
2026-05-02,Laminate Classic,East,26,33567,8040
2026-07-05,Laminate Classic,South,17,27297,7904
2026-01-20,MDF Board,South,41,48654,12221
2025-01-17,MDF Board,East,23,52592,8594
2025-10-06,MDF Board,South,30,50597,9040
2026-06-25,Veneer Sheet,West,28,42733,10033
2025-06-07,Veneer Sheet,North,20,41674,9368
2026-01-11,Plywood Premium,North,31,55406,12858
2025-10-28,Plywood Premium,West,51,82996,23601
2026-01-17,Laminate Classic,East,17,25527,5471
2026-10-08,MDF Board,South,31,50917,11053
2025-06-09,Plywood Premium,North,24,67984,14944
2025-08-14,Plywood Premium,West,53,87040,26009
2026-10-22,MDF Board,South,51,58018,13968
2026-04-15,Laminate Classic,East,28,36829,7459
2025-11-08,Veneer Sheet,North,22,50076,10001
2025-09-01,Plywood Premium,West,55,95843,26423
2025-11-29,Laminate Classic,East,16,33171,8903
2025-09-28,Veneer Sheet,North,19,37764,7061
2026-11-03,MDF Board,South,53,54787,14831
2025-11-15,Plywood Premium,North,29,59006,13289
2026-07-27,Plywood Premium,North,32,62364,19616
2025-09-22,Laminate Classic,East,23,43693,9681
2026-08-12,Laminate Classic,South,17,34107,7098
2026-01-11,Plywood Premium,West,38,114973,20903
2025-11-16,Laminate Classic,East,19,41651,8274
2026-08-22,Laminate Classic,South,20,39016,6701
2025-10-29,Plywood Premium,North,34,69991,15180
2025-01-23,Plywood Premium,North,25,54437,11559
2026-06-01,MDF Board,South,40,46249,10471
2025-07-23,MDF Board,South,48,58477,10460
2025-02-03,Plywood Premium,West,59,94294,26885
2026-03-22,MDF Board,East,50,63515,13503
2025-11-11,MDF Board,East,26,58587,13886
2025-05-24,MDF Board,East,46,46187,14466
2026-12-20,Plywood Premium,North,34,68476,15627
2026-11-19,Plywood Premium,West,48,89646,23327
2025-10-13,Plywood Premium,West,38,71264,25901
2025-05-19,Laminate Classic,East,20,30930,8569
2025-08-17,Plywood Premium,West,47,88447,23454
2026-09-22,MDF Board,South,48,70266,12851
2025-05-16,Plywood Premium,West,54,92290,16830
2026-02-09,Plywood Premium,West,36,80511,19501
2027-01-04,Veneer Sheet,West,32,31011,7132
2026-10-09,Laminate Classic,South,17,38390,6455
2026-08-11,Laminate Classic,East,19,36430,6843
2025-06-06,Veneer Sheet,North,23,48353,9788
2026-07-31,MDF Board,East,30,55429,13038
2025-08-04,MDF Board,South,36,66109,12125
2025-07-24,MDF Board,East,31,58796,9767
2025-06-30,Veneer Sheet,North,26,44157,9938
2026-05-11,Plywood Premium,West,51,123626,24609
2026-10-11,Plywood Premium,West,59,96078,19365
2025-05-27,MDF Board,South,34,53203,13529
2025-03-02,Laminate Classic,East,24,38381,7032
2026-03-15,Plywood Premium,North,33,56821,17087
2025-07-30,Laminate Classic,South,21,31216,6813
2026-10-24,MDF Board,East,28,62776,14758
2026-04-12,Laminate Classic,South,25,30304,7629
2026-05-13,MDF Board,South,49,70309,11937
2026-04-12,Veneer Sheet,West,27,42803,8105
2026-08-06,Veneer Sheet,North,29,35586,8277
2025-04-08,MDF Board,East,42,49572,12341
2026-04-12,Plywood Premium,North,41,52232,14411
2025-01-29,MDF Board,South,43,66573,15107
2026-01-31,Plywood Premium,North,39,67288,16999
2026-12-10,Plywood Premium,North,23,46486,11734
2025-05-21,MDF Board,South,34,63388,11948
2025-09-12,Laminate Classic,East,30,31387,9610
2025-10-18,Plywood Premium,West,33,90963,28166
2025-05-30,MDF Board,South,31,59416,12690
2026-07-14,Veneer Sheet,West,29,36046,7047
2025-09-13,Laminate Classic,East,22,28583,9032
2026-12-29,Laminate Classic,South,21,32705,6407
2025-12-31,Laminate Classic,South,20,23757,6158
2026-01-18,Laminate Classic,East,24,25599,5421
2025-11-09,MDF Board,East,47,59330,12769
2026-04-24,Veneer Sheet,West,29,47543,8437
2026-10-25,Laminate Classic,East,23,33704,9541
2026-11-24,Plywood Premium,North,28,46134,11803
2025-01-18,Plywood Premium,North,27,64933,12532
2025-11-08,MDF Board,East,31,50933,13121
2025-11-12,Veneer Sheet,North,19,26915,6352
2025-09-03,MDF Board,East,22,47168,11081
2025-07-21,Laminate Classic,South,22,23039,4770
2026-10-19,Veneer Sheet,West,26,42908,8289
2025-05-17,MDF Board,South,26,42061,14637
2026-06-13,Laminate Classic,East,19,25374,8453
2025-02-14,Veneer Sheet,North,38,42966,7750
2026-09-13,Laminate Classic,East,30,40231,8884
2026-05-22,MDF Board,South,45,69802,10798
2025-10-19,Veneer Sheet,West,22,50460,11190
2025-10-29,MDF Board,South,44,70076,10128
2025-04-16,Veneer Sheet,North,36,33087,10282
2026-11-27,Veneer Sheet,West,19,36392,9818
2026-02-05,Laminate Classic,East,30,33104,8981
2026-06-26,Veneer Sheet,West,28,34313,6743
2025-05-12,Laminate Classic,South,21,26188,7109
2025-02-19,Plywood Premium,West,39,89859,25713
2026-02-25,Veneer Sheet,West,30,48477,9516
2026-04-24,Laminate Classic,East,16,42609,5492
2025-06-12,MDF Board,South,37,72179,9504
2025-02-11,Laminate Classic,East,26,31530,7058
2025-10-23,Veneer Sheet,West,34,50390,10293
2026-01-18,Veneer Sheet,West,28,45479,6392
2025-06-03,Veneer Sheet,North,24,47830,10024
2026-10-31,Veneer Sheet,North,20,41421,5439
2025-12-24,MDF Board,South,29,70941,14500
2026-01-19,Veneer Sheet,North,22,40905,9218
2025-03-13,MDF Board,East,36,42409,14119
2026-09-02,MDF Board,East,49,60740,12818
2026-01-13,Veneer Sheet,North,22,34642,7499
2026-06-06,Veneer Sheet,West,31,36565,6435
2027-01-11,MDF Board,South,49,70145,15894
2026-06-02,Veneer Sheet,North,30,43915,12130
2025-06-11,MDF Board,East,31,50016,11987
2025-12-19,Veneer Sheet,West,34,47972,8708
2025-12-12,Plywood Premium,North,29,66454,11649
2025-11-29,Laminate Classic,South,13,26042,7854
2025-08-24,MDF Board,East,32,47345,9511
2025-06-29,Veneer Sheet,North,23,27737,6175
2026-08-28,Veneer Sheet,North,19,48417,9007
2026-12-17,MDF Board,East,37,57684,12054
2025-10-28,Veneer Sheet,North,34,46750,9733
2026-07-25,Plywood Premium,North,33,57709,15026
2026-12-18,Veneer Sheet,West,31,43263,10214
2025-05-19,MDF Board,South,46,64886,8443
2026-03-24,MDF Board,South,30,55151,14353
2026-01-08,Laminate Classic,South,22,35350,5884
2025-08-13,Laminate Classic,South,14,26007,6515
2025-08-18,Plywood Premium,North,27,45054,16756
2025-12-07,Plywood Premium,North,27,48553,14635
2026-02-17,Laminate Classic,South,21,34182,4869
2026-05-02,Plywood Premium,West,30,76039,23498
2026-02-26,Laminate Classic,East,24,32107,7858
2025-08-24,MDF Board,East,47,69484,15310
2025-08-18,Plywood Premium,West,45,79344,15788
2026-10-08,Plywood Premium,North,24,60470,10818
2026-07-14,MDF Board,South,31,58953,15799
2026-02-03,MDF Board,East,39,47858,12456
2025-05-20,MDF Board,East,40,43921,8702
2026-01-19,MDF Board,East,24,45728,13162
2025-04-09,Plywood Premium,North,29,56226,19436
2026-07-24,Plywood Premium,North,33,45749,10534
2026-06-24,Veneer Sheet,West,27,38841,8823
2026-04-02,Plywood Premium,West,40,81176,20213
2026-12-13,MDF Board,East,39,43682,14123
2026-12-05,Plywood Premium,West,56,107835,18087
2025-06-16,MDF Board,South,26,61004,13150
2026-06-24,Plywood Premium,West,38,94122,17742
2026-06-06,Laminate Classic,East,20,39560,6554
2027-01-03,Veneer Sheet,North,18,32613,8377
2026-05-23,Laminate Classic,East,24,29794,7936
2025-04-12,Plywood Premium,North,33,58107,14394
2026-02-13,Veneer Sheet,West,19,39076,6088
2025-04-17,Laminate Classic,East,19,32109,8508
2025-01-19,Laminate Classic,South,21,37238,5197
2025-05-08,Veneer Sheet,North,25,37481,11360
2026-12-12,Laminate Classic,South,25,38138,5268
2025-11-12,Plywood Premium,West,57,72417,27042
2025-03-22,Veneer Sheet,West,18,38543,9403
2026-11-28,Plywood Premium,North,32,66736,15084
2026-04-10,MDF Board,South,46,56374,13644
2026-06-24,Laminate Classic,South,15,27783,6890
2025-01-29,Laminate Classic,South,17,26393,8275
2025-06-21,Laminate Classic,South,29,30506,5843
2025-11-27,MDF Board,South,44,59799,12999
2027-01-10,Laminate Classic,South,17,38945,8677
2026-12-17,MDF Board,East,29,40963,10010
2026-01-02,MDF Board,South,48,49234,15652
2025-02-18,Laminate Classic,South,21,30648,6614
2025-06-20,Plywood Premium,West,49,95130,24814
2025-05-22,Laminate Classic,South,21,34747,7539
2025-10-25,Plywood Premium,West,36,87694,25948
2026-10-16,Plywood Premium,West,48,93726,24987
2026-06-06,MDF Board,East,30,49542,11295
2025-12-13,Laminate Classic,East,22,31705,5382
2025-11-22,Veneer Sheet,West,18,36090,8846
2025-03-31,MDF Board,South,39,46293,10831
2025-02-21,Veneer Sheet,West,23,44006,8033
2026-04-12,Plywood Premium,North,22,71955,13801
2025-01-20,MDF Board,East,24,42474,11150
2026-01-05,Laminate Classic,South,19,26344,6946
2025-11-09,Plywood Premium,North,20,44190,9264
2026-11-22,Veneer Sheet,North,26,34231,8796
2025-06-16,Plywood Premium,West,55,90642,22553
2025-12-19,Plywood Premium,West,33,95903,29519
2025-01-29,Veneer Sheet,North,22,43096,11793
2025-06-14,Veneer Sheet,North,23,27086,5873
2025-09-19,Veneer Sheet,North,37,32500,11626
2025-07-21,Laminate Classic,South,22,27813,6910
2026-03-26,MDF Board,South,41,49184,9956
2025-12-21,Plywood Premium,West,61,104980,19067
2025-05-29,Veneer Sheet,North,33,35562,7838
2025-04-10,MDF Board,South,33,62760,15779
2026-02-28,MDF Board,East,34,53228,13349
2026-08-18,Plywood Premium,North,22,67074,17566
2025-05-27,Plywood Premium,North,34,60671,13802
2026-09-02,Veneer Sheet,West,23,31667,8904
2025-06-18,Veneer Sheet,West,24,44474,9755
2025-06-20,Veneer Sheet,North,32,48331,8436
2026-10-19,Laminate Classic,East,25,37924,8210
2025-10-14,Veneer Sheet,West,24,43521,6577
2026-04-21,Laminate Classic,East,15,31756,6789
2025-05-29,MDF Board,South,42,52200,11211
2026-05-28,Veneer Sheet,West,25,30275,9038
2026-09-21,Plywood Premium,North,32,66062,14179
2025-12-14,Veneer Sheet,North,29,42103,6735
2026-11-21,Laminate Classic,South,20,31481,7467
2025-02-23,Plywood Premium,West,52,101345,24798
2026-03-29,MDF Board,East,26,48486,8677
2025-05-11,MDF Board,South,49,51157,15413
2025-12-04,MDF Board,South,50,54158,9568
2026-02-05,Veneer Sheet,North,25,40053,11086
2026-10-12,MDF Board,East,28,49733,11797
2026-08-28,Veneer Sheet,West,25,32285,7041
2026-08-20,Plywood Premium,West,53,74953,19471
2026-04-06,Veneer Sheet,West,22,48055,8529
2026-01-26,MDF Board,South,34,55821,8991
2025-05-10,Veneer Sheet,North,28,42774,10423
2025-01-24,MDF Board,South,30,54411,15264
2027-01-13,Plywood Premium,North,35,59381,13969
2026-07-08,Plywood Premium,North,41,72686,18536
2026-11-25,MDF Board,East,27,51611,9428
2026-05-14,Veneer Sheet,West,33,38867,8784
2026-03-29,Laminate Classic,East,20,30199,6116
2026-10-22,MDF Board,East,28,53568,8243
2025-12-10,Veneer Sheet,West,21,44755,8437
2026-10-20,Laminate Classic,East,26,37825,9413
2025-11-25,Plywood Premium,West,37,111568,26329
2026-09-19,MDF Board,South,26,44249,14152
2025-03-16,MDF Board,East,28,41100,9630
2026-07-18,Plywood Premium,West,51,90784,15839
2025-09-07,Veneer Sheet,North,30,46173,7819
2025-10-11,Laminate Classic,South,17,26024,6644
2025-08-02,Laminate Classic,East,28,30695,6176
2026-04-08,Laminate Classic,East,30,29292,8148
2025-12-01,Veneer Sheet,West,28,33085,8672
2025-01-27,Plywood Premium,North,28,67947,17795
2026-07-11,Plywood Premium,North,26,59979,12201
2025-09-09,Veneer Sheet,North,24,40294,7438
2026-02-15,Laminate Classic,East,15,35329,5373
2026-04-20,Plywood Premium,North,37,69262,11190
2026-10-25,Plywood Premium,North,22,49003,9631
2026-04-20,MDF Board,East,33,53919,11711
2026-04-14,Plywood Premium,West,42,100776,20964
2025-12-03,Laminate Classic,East,29,29840,9158
2026-11-18,Laminate Classic,South,24,28224,7916
2026-05-06,Laminate Classic,East,29,41228,6716
2026-02-11,Veneer Sheet,West,24,31923,9336
2025-08-11,Laminate Classic,South,28,33615,8083
2025-10-04,Veneer Sheet,West,34,49194,8859
2025-12-15,Laminate Classic,East,26,27954,7150
2025-02-02,Veneer Sheet,West,28,30992,8296
2026-06-24,Plywood Premium,West,35,67199,24321
2026-11-11,Plywood Premium,West,65,118853,22000
2026-11-08,Laminate Classic,East,17,33294,7411
2025-11-01,MDF Board,East,25,60709,11490
2026-01-18,Laminate Classic,South,25,22380,7002
2025-04-01,Veneer Sheet,West,20,30143,9757
2025-10-03,Laminate Classic,East,25,26181,7178
2026-07-12,MDF Board,South,44,58150,10271
2026-03-15,Plywood Premium,West,48,91174,18640
2026-12-23,Plywood Premium,West,46,80758,21840
2026-07-07,Plywood Premium,West,40,95380,31879
2026-02-12,MDF Board,South,30,57530,14690
2026-11-01,Veneer Sheet,North,32,36241,9868
2025-08-13,Veneer Sheet,North,33,43471,7389
2025-06-26,Veneer Sheet,North,16,32528,6367
2026-12-14,MDF Board,East,34,44784,8815
2027-01-07,Laminate Classic,East,30,31800,8215
2026-03-14,MDF Board,East,39,44829,13237
2025-05-01,Veneer Sheet,West,19,42350,10789
2026-07-27,Laminate Classic,South,14,25371,7849
2025-09-16,Plywood Premium,West,49,107386,27495
2027-01-22,MDF Board,East,41,59776,9085
2025-07-15,Plywood Premium,North,26,74798,15860
2025-01-12,Veneer Sheet,North,16,27799,8259
2026-03-23,Veneer Sheet,North,19,31436,11253
2025-09-09,Veneer Sheet,North,26,38405,8446
2025-08-13,MDF Board,South,43,49539,10083
2025-12-20,Veneer Sheet,North,28,27534,7032
2026-01-17,MDF Board,South,51,52599,14296
2025-12-19,Veneer Sheet,West,25,35211,6994
2026-09-11,Laminate Classic,East,17,44157,7466
2025-06-15,Laminate Classic,South,16,31115,5319
2026-12-06,Veneer Sheet,North,35,41355,9519
2026-06-08,Laminate Classic,South,13,23096,6655
2026-11-04,Veneer Sheet,West,23,38702,7866
2026-03-07,Laminate Classic,South,27,34140,6810
2025-05-18,Veneer Sheet,West,32,46151,10315
2026-06-22,Veneer Sheet,West,27,32779,10696
2026-01-08,Laminate Classic,East,23,28044,5320
2026-11-14,Laminate Classic,East,31,41867,5431
2026-07-12,Laminate Classic,South,24,25378,8639
2026-02-25,MDF Board,South,48,64735,12689
2026-01-16,Veneer Sheet,North,30,39849,9801
2025-02-27,Veneer Sheet,North,37,46962,10860
2025-05-30,MDF Board,South,38,44659,10596
2026-06-03,Veneer Sheet,North,31,28036,6936
2026-05-15,Laminate Classic,South,17,33378,7682
2025-04-02,MDF Board,East,34,64362,12449
2025-09-12,Laminate Classic,East,27,26983,8382
2026-10-08,Laminate Classic,East,29,30995,6434
2025-03-29,MDF Board,East,45,66207,10875
2025-06-09,Veneer Sheet,North,34,52210,9952
2026-04-18,Veneer Sheet,North,15,29343,5372
2025-07-20,Laminate Classic,East,26,26665,7500
2025-08-12,Plywood Premium,West,46,66594,21960
2026-06-06,MDF Board,South,42,62799,13871
2025-06-25,Laminate Classic,South,14,28832,7357
2026-02-28,MDF Board,East,40,59821,14999
2026-12-25,Veneer Sheet,North,29,39963,7246
2025-07-18,Veneer Sheet,West,22,36964,6458
2025-11-26,Plywood Premium,West,67,121589,27253
2025-08-02,Veneer Sheet,West,29,44731,6732
2026-07-18,Laminate Classic,East,26,29757,7105
2026-06-04,Plywood Premium,North,33,77389,12313
2026-09-27,MDF Board,East,36,52475,12270
2026-08-12,MDF Board,East,49,50201,11590
2026-08-22,MDF Board,East,44,45546,13794
2026-12-14,Laminate Classic,South,20,24702,4950
2025-10-28,MDF Board,South,37,53467,13065
2025-07-06,Laminate Classic,East,17,25970,6430
2026-11-14,Plywood Premium,West,46,72603,20692
2026-02-27,Laminate Classic,South,14,26729,5675
2026-10-07,Laminate Classic,East,29,31047,6850
2025-08-17,Veneer Sheet,West,23,34249,10726
2026-08-29,MDF Board,East,36,51888,10054
2026-06-20,Laminate Classic,South,15,27552,7732
2025-06-07,MDF Board,East,25,59571,10354
2026-06-01,Laminate Classic,South,26,35035,7117
2025-04-12,Veneer Sheet,North,22,47084,7609
2026-01-22,Veneer Sheet,West,35,41410,7870
2025-06-18,Veneer Sheet,West,19,32856,7205
2026-08-27,MDF Board,South,38,55739,9007
2025-01-29,Laminate Classic,South,22,22514,7048
2026-09-18,Veneer Sheet,West,19,38593,8535
2026-06-21,Veneer Sheet,North,37,49612,10132
2025-05-25,Laminate Classic,South,18,30388,6464
2025-11-13,Plywood Premium,North,40,65896,11718
2025-02-17,Veneer Sheet,West,22,33088,7775
2025-08-15,Laminate Classic,East,15,27188,7791
2026-09-15,Plywood Premium,West,40,114599,24437
2025-02-22,Plywood Premium,West,52,103321,19356
2025-02-15,MDF Board,East,32,47201,8133
2026-09-12,Plywood Premium,West,44,76203,22829
2026-05-29,MDF Board,East,27,40657,10122
2025-06-21,Veneer Sheet,West,21,34422,9085
2025-09-09,MDF Board,South,40,48783,13777
2026-02-01,Plywood Premium,West,39,103202,27167
2025-02-26,Laminate Classic,South,21,32972,5005
2026-09-12,Plywood Premium,North,34,67771,12662
2026-01-30,Laminate Classic,East,17,42822,8872
2025-01-29,Laminate Classic,East,29,32844,5600
2025-10-25,Laminate Classic,East,21,44800,9633
2025-09-30,MDF Board,East,28,61745,9267
2026-10-31,Plywood Premium,West,30,93260,17249
2025-10-20,Veneer Sheet,North,36,44957,10585
2026-01-23,Plywood Premium,West,43,101709,21537
2027-01-18,Veneer Sheet,North,28,49172,8370
2025-10-29,Laminate Classic,South,16,26573,8034
2026-11-25,MDF Board,East,40,52643,8648
2025-10-16,MDF Board,East,36,46857,13176
2025-10-26,MDF Board,East,25,54628,9923
2025-09-12,Plywood Premium,North,21,49697,17056
2025-01-28,Plywood Premium,West,62,90205,27257
2026-03-21,Plywood Premium,West,42,76212,17552
2025-11-11,MDF Board,East,27,50696,13130
2026-02-16,Plywood Premium,West,52,100315,24129
2025-05-12,Laminate Classic,South,27,34061,7061
2026-01-15,MDF Board,East,36,55630,14590
2026-12-10,Plywood Premium,North,27,72150,11022
2025-10-27,Plywood Premium,West,45,73223,29919
2025-04-14,Laminate Classic,East,30,40030,8187
2025-07-19,Plywood Premium,West,66,111680,22388
2026-10-17,MDF Board,South,34,70473,9811
2026-03-18,Laminate Classic,East,22,25448,5818
2026-01-11,Plywood Premium,North,22,60613,9535
2025-12-08,Veneer Sheet,West,29,29667,10334
2026-06-05,Plywood Premium,North,33,61410,17353
2025-02-07,MDF Board,South,33,68245,9250
2026-08-01,MDF Board,East,38,48900,11453
2025-10-18,Plywood Premium,North,26,62651,17292
2026-03-29,Veneer Sheet,West,17,44434,6310
2025-01-08,Plywood Premium,North,27,50761,11282
2025-07-04,Plywood Premium,West,52,92481,26996
2026-03-10,Veneer Sheet,North,31,46857,9945
2025-07-26,Veneer Sheet,North,24,44360,7313
2025-04-07,Laminate Classic,East,23,37162,9242
2025-12-14,Laminate Classic,South,22,28435,6783
2025-08-07,Laminate Classic,East,18,29428,6718
2025-11-04,Laminate Classic,South,17,29560,9064
2026-10-11,Veneer Sheet,North,29,37718,10048
2026-12-02,Veneer Sheet,North,28,31307,6414
2025-06-14,Laminate Classic,East,17,29463,6864
2026-12-25,Veneer Sheet,North,29,38343,11520
2025-12-18,Veneer Sheet,West,18,39907,6546
2026-08-12,MDF Board,East,36,63093,11717
2026-05-19,MDF Board,East,45,41556,9606
2025-06-17,Plywood Premium,North,25,50276,15535
2025-05-09,Veneer Sheet,North,30,38665,10950
2025-09-13,MDF Board,South,42,64651,8264
2026-04-05,Laminate Classic,East,17,38015,8366
2025-11-21,Laminate Classic,South,17,27759,5829
2026-03-06,MDF Board,East,37,63758,11116
2026-11-04,MDF Board,East,42,51323,12742
2026-04-04,Laminate Classic,South,25,31331,6518
2025-05-16,MDF Board,East,27,44735,9555
2026-11-03,Laminate Classic,East,24,31950,8108
2025-11-21,Laminate Classic,East,29,39587,7700
2025-11-17,MDF Board,East,35,39450,8650
2025-05-23,Veneer Sheet,West,24,43672,9359
2025-10-31,Plywood Premium,West,57,97437,27691
2025-04-05,MDF Board,South,35,68086,12214
2026-03-28,Laminate Classic,South,18,29420,7234
2026-01-17,MDF Board,South,50,45951,11664
